epoch,accuracy,auc,loss,lr,sensitivity_at_specificity,specificity_at_sensitivity,val_accuracy,val_auc,val_loss,val_sensitivity_at_specificity,val_specificity_at_sensitivity
0,0.9122082591056824,0.9551106691360474,0.37112313508987427,0.001,0.9933052659034729,0.9738242626190186,0.6144710779190063,0.9539037942886353,0.6334053874015808,0.9825286865234375,0.9699168801307678
1,0.9103459119796753,0.9538733959197998,0.3248869776725769,0.001,0.9912686944007874,0.9704617261886597,0.9098897576332092,0.9634284973144531,0.29873302578926086,0.9958455562591553,0.9750542044639587
2,0.9111414551734924,0.9556998014450073,0.2940899729728699,0.001,0.991000235080719,0.9730138182640076,0.9244842529296875,0.9554615616798401,0.44251495599746704,0.9939568638801575,0.9639045000076294
3,0.9167457818984985,0.9618392586708069,0.26837852597236633,0.001,0.993881344795227,0.9791164994239807,0.872106671333313,0.9233119487762451,0.34198781847953796,0.9875888824462891,0.9520688652992249
4,0.9191699624061584,0.9625065922737122,0.2530055642127991,0.001,0.9936031699180603,0.9800941348075867,0.9258009791374207,0.9623814821243286,0.24770818650722504,0.9927790760993958,0.9756897687911987
5,0.9224772453308105,0.9641776084899902,0.24003387987613678,0.001,0.9952319860458374,0.9793245196342468,0.8971550464630127,0.9542713761329651,0.33945366740226746,0.9836704134941101,0.97710782289505
6,0.9277215600013733,0.9716362953186035,0.2207452356815338,0.001,0.9956634044647217,0.9884723424911499,0.8124307990074158,0.9252386093139648,0.5315417051315308,0.9372504949569702,0.9815154075622559
7,0.9312530755996704,0.9737131595611572,0.20956358313560486,0.001,0.9955874085426331,0.9891722798347473,0.8654581904411316,0.9563120603561401,0.36929434537887573,0.9897634387016296,0.9916580319404602
8,0.9292899370193481,0.972571611404419,0.207799032330513,0.001,0.9968631267547607,0.9875309467315674,0.9143049716949463,0.9738138914108276,0.2229110449552536,0.9929904341697693,0.9884737730026245
9,0.9388427734375,0.9774853587150574,0.18734939396381378,0.001,0.9969708919525146,0.9904611706733704,0.9074297547340393,0.9776301980018616,0.23567980527877808,0.9987896680831909,0.9897364377975464
10,0.938628077507019,0.9783652424812317,0.18474896252155304,0.001,0.9957132935523987,0.9928982853889465,0.9308382868766785,0.9802021980285645,0.2014874815940857,0.9974554181098938,0.9953724145889282
11,0.9403254389762878,0.9795441031455994,0.1754167377948761,0.001,0.9976261258125305,0.9923452138900757,0.9067455530166626,0.9694650173187256,0.24559013545513153,0.9904817938804626,0.995058536529541
12,0.9443770051002502,0.9805493950843811,0.1690157800912857,0.001,0.997718334197998,0.9908792972564697,0.8828206658363342,0.9747772812843323,0.2744084298610687,0.9975629448890686,0.9917476177215576
13,0.9424888491630554,0.9806220531463623,0.1671922653913498,0.001,0.9979258179664612,0.9923812747001648,0.9390323758125305,0.9744913578033447,0.1878410428762436,0.9960716962814331,0.9864159226417542
14,0.948032557964325,0.9825509190559387,0.15667355060577393,0.001,0.9980390071868896,0.9926751255989075,0.9366406798362732,0.9819193482398987,0.21769486367702484,0.9965023398399353,0.9967872500419617
15,0.9458056688308716,0.9819196462631226,0.15938331186771393,0.001,0.9974373579025269,0.9924114942550659,0.9326161742210388,0.979325532913208,0.20233312249183655,0.998358964920044,0.9947327375411987
16,0.9473245143890381,0.9821944832801819,0.15588773787021637,0.001,0.9977225661277771,0.9923925399780273,0.9260098934173584,0.9820627570152283,0.2543967366218567,0.994534969329834,0.9946677088737488
17,0.9465144276618958,0.9796370267868042,0.16349750757217407,0.001,0.9968761205673218,0.9911361336708069,0.9258196353912354,0.975795567035675,0.23371157050132751,0.997450590133667,0.9951514005661011
18,0.9455196261405945,0.9818946719169617,0.1569206565618515,0.001,0.9979425668716431,0.9919770359992981,0.9088442325592041,0.9776273369789124,0.2474881112575531,0.9975273013114929,0.9919075965881348
19,0.9532241821289062,0.9845207333564758,0.14171135425567627,0.000100000005,0.9975104331970215,0.9934806823730469,0.9449329376220703,0.983562707901001,0.15502339601516724,0.998782753944397,0.9946330785751343
20,0.9553045034408569,0.9872561097145081,0.13385620713233948,0.000100000005,0.9983319044113159,0.9955188632011414,0.9443191289901733,0.9826047420501709,0.15640626847743988,0.9986739158630371,0.9940065145492554
21,0.9538068175315857,0.9853477478027344,0.1388317197561264,0.000100000005,0.9983693361282349,0.9935168623924255,0.9434950351715088,0.983357310295105,0.15579546988010406,0.9987301826477051,0.9948520064353943
22,0.9560384750366211,0.9861811399459839,0.1354265809059143,0.000100000005,0.9979170560836792,0.9949632883071899,0.9458280205726624,0.9826454520225525,0.15505260229110718,0.9985181093215942,0.9937703609466553
23,0.9561315178871155,0.9867427349090576,0.1334112137556076,0.000100000005,0.9980031847953796,0.9944230914115906,0.9458481073379517,0.9833727478981018,0.1536552459001541,0.9983364939689636,0.9948590397834778
24,0.9569110870361328,0.9873098731040955,0.13087134063243866,0.000100000005,0.9990167617797852,0.9950706958770752,0.946057140827179,0.9835411310195923,0.15227580070495605,0.9982028007507324,0.9954289793968201
25,0.9568958878517151,0.9871166348457336,0.13084553182125092,0.000100000005,0.9988614916801453,0.994873583316803,0.9417475461959839,0.9839909076690674,0.15802377462387085,0.9983558654785156,0.9965683221817017
26,0.9568641185760498,0.9864758253097534,0.13133729994297028,0.000100000005,0.9988677501678467,0.9934435486793518,0.9400165677070618,0.9848418831825256,0.1595965176820755,0.9984539747238159,0.9975373148918152
27,0.9575994610786438,0.9869498610496521,0.12909498810768127,0.000100000005,0.998680055141449,0.9936932325363159,0.9467834830284119,0.9812890291213989,0.15671242773532867,0.9981228113174438,0.9924156069755554
28,0.9585122466087341,0.9878997802734375,0.12641873955726624,0.000100000005,0.9987359046936035,0.9949535727500916,0.9474136233329773,0.9832758903503418,0.1514732986688614,0.998182475566864,0.9954618811607361
29,0.9575973153114319,0.9884482622146606,0.12766624987125397,0.000100000005,0.9981198906898499,0.9972801804542542,0.9472510814666748,0.9851872324943542,0.14902657270431519,0.9981951117515564,0.9965993165969849
30,0.9583796858787537,0.9870215654373169,0.12723778188228607,0.000100000005,0.9989039897918701,0.9930237531661987,0.9471145868301392,0.9837672114372253,0.15168814361095428,0.9984192252159119,0.9946606159210205
31,0.9585229754447937,0.9882074594497681,0.12521499395370483,0.000100000005,0.9984646439552307,0.9952993392944336,0.9445540308952332,0.9851064085960388,0.15062803030014038,0.998755931854248,0.996724009513855
32,0.9578724503517151,0.98847496509552,0.12703856825828552,0.000100000005,0.9982296824455261,0.996913492679596,0.9459365606307983,0.9826011657714844,0.15588918328285217,0.9988272190093994,0.9930959343910217
33,0.9578795433044434,0.9871222376823425,0.12779228389263153,0.000100000005,0.9981781244277954,0.9935095906257629,0.9462927579879761,0.9856246709823608,0.14680464565753937,0.9987869262695312,0.9961512684822083
34,0.958728551864624,0.9878859519958496,0.12500253319740295,0.000100000005,0.999091386795044,0.9946309924125671,0.9473543763160706,0.9828154444694519,0.1531907469034195,0.9985408186912537,0.9941186904907227
35,0.9587607979774475,0.9882742166519165,0.1250937432050705,0.000100000005,0.9982503652572632,0.9949922561645508,0.9468336701393127,0.9847483038902283,0.14872248470783234,0.9985306859016418,0.9960644245147705
36,0.9581851959228516,0.98688143491745,0.12790195643901825,0.000100000005,0.9981815218925476,0.99289870262146,0.9454365968704224,0.9857833385467529,0.14923617243766785,0.9987069964408875,0.997068464756012
37,0.9583712816238403,0.9883147478103638,0.12429318577051163,0.000100000005,0.9992865920066833,0.9940938353538513,0.9478626847267151,0.9847999811172485,0.1483287811279297,0.9989165663719177,0.9967796206474304
38,0.9596572518348694,0.9887339472770691,0.12189636379480362,0.000100000005,0.9994162917137146,0.9948192238807678,0.9473221898078918,0.9840511083602905,0.15014372766017914,0.9987035393714905,0.9951760768890381
39,0.960501492023468,0.9900715947151184,0.11753549426794052,1.0000001e-05,0.9995011687278748,0.996817409992218,0.9483652114868164,0.9850339293479919,0.14595381915569305,0.9989158511161804,0.9945300817489624
40,0.9610764980316162,0.9889168739318848,0.1201004907488823,1.0000001e-05,0.9985816478729248,0.996055543422699,0.9486860632896423,0.9850746393203735,0.1459052413702011,0.9987497925758362,0.9949822425842285
41,0.9606959223747253,0.9872369170188904,0.12352920323610306,1.0000001e-05,0.998874843120575,0.9935681819915771,0.9485424757003784,0.9849327802658081,0.14583812654018402,0.9989862442016602,0.996265172958374
42,0.9609361290931702,0.9882175326347351,0.12039820849895477,1.0000001e-05,0.9991841316223145,0.9948666095733643,0.9483754634857178,0.9852203130722046,0.14468832314014435,0.998712956905365,0.9964724779129028
43,0.9602413177490234,0.9884578585624695,0.12123972922563553,1.0000001e-05,0.9984347224235535,0.9959391951560974,0.9487672448158264,0.9853754043579102,0.1445222944021225,0.9986826181411743,0.9951803684234619
44,0.959672749042511,0.9885272979736328,0.1228734627366066,1.0000001e-05,0.998440682888031,0.9968380928039551,0.9486433267593384,0.9854099750518799,0.14429470896720886,0.9987269639968872,0.9964161515235901
45,0.9601089954376221,0.9886296987533569,0.12090831249952316,1.0000001e-05,0.9992507100105286,0.9953999519348145,0.9487104415893555,0.9852790236473083,0.1448567807674408,0.9985653162002563,0.9951230883598328
46,0.9608219861984253,0.9892144799232483,0.1189369261264801,1.0000001e-05,0.9990712404251099,0.995855987071991,0.9489981532096863,0.9851413369178772,0.14532238245010376,0.9987899661064148,0.995051920413971
47,0.9577547907829285,0.9883336424827576,0.12585802376270294,1.0000001e-05,0.9985321760177612,0.9963820576667786,0.9486982822418213,0.9850659966468811,0.14524076879024506,0.9987161755561829,0.9949322938919067
48,0.9615411162376404,0.9899296760559082,0.11648865044116974,1.0000001e-05,0.9995433688163757,0.9960321187973022,0.9484957456588745,0.9853269457817078,0.14466771483421326,0.9988704919815063,0.9952391386032104
49,0.9604429006576538,0.9890176057815552,0.11960703879594803,1.0000001e-05,0.9989518523216248,0.9957616329193115,0.9487205743789673,0.9852936863899231,0.14458823204040527,0.9985916614532471,0.9950578212738037
50,0.9613098502159119,0.9888426065444946,0.11832939833402634,1e-05,0.9989779591560364,0.9955328702926636,0.9488703608512878,0.9855057597160339,0.14388802647590637,0.9984428882598877,0.9968528747558594
51,0.9598709940910339,0.9888906478881836,0.12037625908851624,1e-05,0.999423086643219,0.9954512119293213,0.9490476250648499,0.9845908880233765,0.14651964604854584,0.998435914516449,0.9943917989730835
52,0.9611842036247253,0.9899552464485168,0.11665302515029907,1e-05,0.9992110729217529,0.9966616630554199,0.949015200138092,0.9858075976371765,0.14366938173770905,0.9984266757965088,0.9960795640945435
